,fact_updated_at
1003,20.41967165138889
1004,50.16689387361111
1005,20.275227206944443
1008,20.584671651388888
1009,57.336616095833335
1014,20.5157827625
1015,21.076616095833334
1017,23.175227206944445
1023,23.240227206944443
1024,28.162727206944446
1027,20.69800498472222
1029,46.44550498472222
1030,25.4732827625
1031,52.63106054027778
1036,44.742727206944444
1038,34.9682827625
1039,45.51439387361111
1050,21.038838318055557
1054,23.84939387361111
1056,21.017727206944443
1068,26.708838318055555
1078,20.591060540277777
1079,16.755227206944443
1080,56.982449429166664
1086,46.175504984722224
1090,48.3982827625
1094,27.811338318055554
1096,16.81550498472222
1101,28.639671651388888
1104,44.02494942916667
1105,34.90467165138889
