,fact_updated_at
1,28.765227206944445
2,20.2407827625
4,37.07411609583333
5,23.175227206944445
8,32.665227206944444
9,25.989949429166668
12,31.846338318055555
16,48.36606054027778
17,47.4582827625
20,22.185504984722222
24,28.592727206944446
26,21.74189387361111
28,36.649116095833335
30,31.321338318055556
34,24.203560540277778
35,21.084671651388888
41,27.388004984722222
42,56.982449429166664
43,22.321616095833335
45,22.717727206944446
48,50.378560540277775
52,52.99772720694445
54,21.909393873611112
55,31.846338318055555
60,20.640227206944445
61,26.56217165138889
64,26.130227206944443
65,25.70606054027778
66,28.029671651388888
68,23.666060540277776
74,44.302727206944446
77,21.28050498472222
82,20.756338318055555
84,52.51300498472222
86,23.173838318055555
89,55.69633831805555
90,26.715227206944444
91,29.01967165138889
92,43.87744942916667
99,25.457727206944444
100,21.038838318055557
101,31.607449429166667
105,25.456338318055554
107,21.74189387361111
113,21.078838318055556
116,51.043838318055556
123,21.47606054027778
127,23.175227206944445
128,52.60439387361111
130,45.69689387361111
131,32.0557827625
132,32.65772720694444
134,20.318004984722222
136,27.96800498472222
147,52.60439387361111
152,32.64411609583333
157,21.559116095833332
159,45.83217165138889
164,21.60800498472222
165,22.18467165138889
166,25.487727206944445
169,47.4582827625
174,55.69633831805555
186,20.554116095833333
188,30.401338318055554
190,20.756338318055555
192,28.947449429166667
193,46.17439387361111
194,25.451060540277776
197,21.167449429166666
199,56.956060540277775
200,21.0082827625
206,50.45717165138889
208,27.415227206944444
211,45.588560540277776
218,20.448838318055557
220,52.60439387361111
222,20.455227206944443
223,20.41967165138889
224,22.023560540277778
225,26.173004984722223
227,23.1207827625
228,20.409949429166666
229,50.88189387361111
233,47.4582827625
237,26.173004984722223
239,20.67856054027778
241,25.467171651388888
244,47.845504984722226
245,54.39467165138889
246,21.100227206944446
248,45.5832827625
250,45.82383831805556
252,20.84300498472222
261,45.513838318055555
262,16.78717165138889
263,45.82883831805555
267,47.312727206944444
268,25.4782827625
270,46.36689387361111
271,20.70467165138889
272,31.182449429166667
275,20.552727206944443
278,34.35522720694444
