"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","tracking_id_ekart","bag_facility_source_name","shipment_facility_source_name","fact_updated_at","shipment_cpd"
"MotherHub_YKB","AndalHub_DGP","ECONOMY","03:00:00","H-68159319636527043","FMPP2022230075","PaharganjHub_DEL_PL","MotherHub_YKB","2023-11-23T08:47:23.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","JamtaraHub_JMT","ECONOMY","03:00:00","E-54908341416907812","FMPP2022560035","Peeragarhi_DEL_PL","MotherHub_YKB","2023-11-23T07:48:08.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","G-72996533214494483","FMPP2022549889","PaharganjHub_DEL_PL","MotherHub_YKB","2023-11-23T08:38:30.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","F-54858846740344629","FMPP2021232074","KanjhawalaHub_DEL_PL","MotherHub_YKB","2023-11-23T08:47:26.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00","C-36905008863661367","FMPC3257935189","NehruPlaceHub_DEL_PL","MotherHub_YKB","2023-11-23T13:00:55.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","C-9681392491665847","FMPC3257425604","Jhilmil_DEL_PL","MotherHub_YKB","2023-11-23T08:46:46.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","F-75145884349379177","FMPC3258730782","PaharganjHub_DEL_PL","MotherHub_YKB","2023-11-23T11:33:08.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","C-6614706500030253","FMPC3258118387","ShalimarGardenHub_DEL_PL","MotherHub_YKB","2023-11-23T03:07:03.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","F-68163921989782952","FMPP2021603421","Phase3NoidaHub_DEL_PL","MotherHub_YKB","2023-11-23T13:03:45.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","B-36934996634749798","FMPC3258952091","PanipatHub_PPT_PL","MotherHub_YKB","2023-11-23T12:16:34.000+05:30","2023-12-01T02:59:59.000+05:30"
