"id","time1","cv","bag_seal_id","cage_id"
"86","2023-11-20 18:47:27.520700","CV 5","EMUMSAI4-3700516-1375","15"
"87","2023-11-20 18:47:33.929367","CV 5","EBIHSMP-660910063","27"
"88","2023-11-20 18:47:36.433744","CV 5","EBOMBHD-660896077","15"
"89","2023-11-20 18:47:46.772455","CV 5","ERDPCTO-1734069","29"
"90","2023-11-20 18:47:48.507115","CV 5","EBOMMIR-660896138","15"
"92","2023-11-20 18:47:58.004707","CV 5","ECCUBDM-660899965","29"
"93","2023-11-20 18:48:05.109230","CV 5","EBOMBKC-660799761","15"
"94","2023-11-20 18:48:26.664053","CV 5","EBGHBGH-660839742","46"
"95","2023-11-20 18:48:36.338929","CV 1","EBIHKIR-660880989","17"
"96","2023-11-20 18:48:40.686105","CV 5","EMUMSAI4-3701360-983","15"
"97","2023-11-20 18:48:40.946164","CV 5","EKOPKOP-660811668","25"
"98","2023-11-20 18:48:49.706987","CV 5","EAMDBPG-660910080","21"
"99","2023-11-20 18:48:51.804848","CV 5","ERAICHG-2445911-1533","18"
"100","2023-11-20 18:48:57.564735","CV 5","ECCUULB-5966625-1525","25"
"103","2023-11-20 18:49:18.520393","CV 5","EGAMGAM-660847815","17"
"104","2023-11-20 18:49:22.430926","CV 5","EPATBTS-4837358-1363","19"
"107","2023-11-20 18:49:38.691573","CV 5","ECCUBHP-660878890","24"
"108","2023-11-20 18:49:38.738599","CV 1","ETSKTSK-660850761","42"
"109","2023-11-20 18:49:46.425510","CV 5","EAHDABD-2641802-1278","21"
"110","2023-11-20 18:49:46.909513","CV 5","EBIHBGP-660940122","17"
"111","2023-11-20 18:49:48.011603","CV 1","EPNQNGR-660897980","16"
"113","2023-11-20 18:50:04.609211","CV 5","EPATHJR-752630-1319","27"
"115","2023-11-20 18:50:17.818851","CV 5","EKOLHRN-2718677-1530","24"
"116","2023-11-20 18:50:21.273036","CV 1","EDELKRD-660902109","16"
"117","2023-11-20 18:50:28.486267","CV 5","EMGAMGA-660832767","45"
"118","2023-11-20 18:50:30.335116","CV 5","ERAICHG-2451670-1289","18"
"119","2023-11-20 18:50:32.167680","CV 1","ENAGAMI-660879941","12"
"120","2023-11-20 18:50:39.720375","CV 5","EKOLHRN-2713547-1528","24"
"121","2023-11-20 18:50:40.056322","CV 1","EGAUBPT-1464672","13"
"123","2023-11-20 18:50:46.929083","CV 5","EAMDCGR-660887010","21"
"124","2023-11-20 18:50:55.063462","CV 5","EIXWATP-660876235","22"
"125","2023-11-20 18:51:09.159768","CV 5","ECCUSYN-1699184","24"
"126","2023-11-20 18:51:10.335947","CV 1","ERPRBWA-660833726","16"
"127","2023-11-20 18:51:21.038894","CV 5","ECCUBKO-1427899","22"
"128","2023-11-20 18:51:37.372872","CV 5","ECCULGL-660875027","45"
"130","2023-11-20 18:51:47.606793","CV 1","EJLRRTP-1452939","18"
"131","2023-11-20 18:51:56.311208","CV 5","EKOLBEH-660936053","25"
"133","2023-11-20 18:52:06.923854","CV 5","ECCUNDN-1544818","25"
"134","2023-11-20 18:52:07.021411","CV 1","EBHOSEH-1653950","15"
"135","2023-11-20 18:52:17.686167","CV 5","ECCUHLD-660887846","25"
"137","2023-11-20 18:52:31.724445","CV 5","ERDPGVD-1423728","28"
"138","2023-11-20 18:52:37.258146","CV 1","ESNISNI-660830697","42"
"139","2023-11-20 18:52:38.359442","CV 5","EAMDMHN-660868976","21"
"140","2023-11-20 18:52:59.987151","CV 5","EKNEKNE-660803668","34"
"141","2023-11-20 18:53:13.065505","CV 5","EBHUCUT-3597527-1301","23"
"142","2023-11-20 18:53:26.233906","CV 5","ECCUTAK-1421672","25"
"143","2023-11-20 18:53:37.969478","CV 5","EKSGKSG-660835765","24"
"144","2023-11-20 18:53:48.549855","CV 5","EKOLHRN-2720666-1530","24"
"145","2023-11-20 18:53:59.495863","CV 5","EBBIRGD-660853769","23"
"146","2023-11-20 18:54:08.874707","CV 5","ESTVANK-1529902","21"
"147","2023-11-20 18:54:25.217000","CV 5","EAMDIXK-660741851","26"
"148","2023-11-20 18:54:32.380261","CV 5","EPATHJR-759687-1319","27"
"149","2023-11-20 18:54:39.500746","CV 5","EBBIBAW-660887913","25"
"150","2023-11-20 18:54:45.658114","CV 5","EBOMCHB-660900977","15"
"151","2023-11-20 18:54:47.867605","CV 5","EMRRMRR-660822620","24"
"152","2023-11-20 18:54:54.883749","CV 5","ECCUCNP-660942101","24"
"154","2023-11-20 18:55:12.628549","CV 5","ECCUULB-5966626-1527","25"
"155","2023-11-20 18:55:24.746362","CV 1","EBOMDBV-660913073","15"
"156","2023-11-20 18:55:25.334619","CV 5","ECCUULB-5971295-1526","25"
"157","2023-11-20 18:55:28.997499","CV 5","EPNQHDP-660880018","16"
"158","2023-11-20 18:55:36.528835","CV 5","ECCUDDH-660880857","25"
"159","2023-11-20 18:55:43.147907","CV 1","SLC41417062-23","18"
"160","2023-11-20 18:55:46.422796","CV 5","EBDQDHD-1424544","21"
"161","2023-11-20 18:55:51.908411","CV 5","EGANGAN-660903055","21"
"162","2023-11-20 18:56:00.442772","CV 5","SLC40976845-23","15"
"163","2023-11-20 18:56:01.840084","CV 5","ELDAENB-660892931","44"
"164","2023-11-20 18:56:10.615249","CV 5","EBLPKOR-660852907","18"
"165","2023-11-20 18:56:12.725142","CV 5","ECCUBAC-660871917","25"
"166","2023-11-20 18:56:15.399826","CV 1","EIXSSWN-1346456","19"
"167","2023-11-20 18:56:19.374487","CV 5","EBSHBSH-660894213","24"
"168","2023-11-20 18:56:32.671308","CV 5","EAHDABD-2635201-1278","21"
"169","2023-11-20 18:56:37.477919","CV 5","ENAGTMN-660900073","12"
"170","2023-11-20 18:56:38.947328","CV 5","EBDQKLB-1690134","21"
"171","2023-11-20 18:56:46.476690","CV 5","ECCUGOL-319572","25"
"172","2023-11-20 18:56:48.992043","CV 5","EMRHMRH-660817662","42"
"173","2023-11-20 18:57:04.137409","CV 5","EBEBBEB-660865989","45"
"174","2023-11-20 18:57:09.736244","CV 5","EGAUNNM-660861786","13"
"175","2023-11-20 18:57:10.903668","CV 5","EBLRVAV-1422859","26"
"176","2023-11-20 18:57:12.478042","CV 1","EGAUSIM-660944066","13"
"177","2023-11-20 18:57:21.946488","CV 5","EPATJNR-1483672","47"
"178","2023-11-20 18:57:24.947587","CV 5","EAMDCDH-1547944","21"
"179","2023-11-20 18:57:26.181207","CV 1","EBOMBSW-660855808","14"
"180","2023-11-20 18:57:34.612979","CV 5","EBBIKPA-660856823","23"
"181","2023-11-20 18:57:35.962343","CV 5","EPNQCHK-660860822","16"
"183","2023-11-20 18:57:43.655268","CV 5","ECCUMDN-660895916","25"
"184","2023-11-20 18:57:45.972811","CV 5","EBIHSWN-660902997","19"
"185","2023-11-20 18:57:49.183759","CV 1","EAMDVPI-660889869","15"
"186","2023-11-20 18:57:50.493790","CV 5","ECCUBND-660890023","25"
"188","2023-11-20 18:58:05.654467","CV 5","EBBIBPO-660890005","25"
"189","2023-11-20 18:58:06.005957","CV 5","EBIHBTH-660917060","19"
"190","2023-11-20 18:58:12.348722","CV 1","SLC40462498-23","14"
"191","2023-11-20 18:58:19.418589","CV 5","EGAUGUW-3393745-1314","13"
"192","2023-11-20 18:58:27.882492","CV 5","ENAGBTS-2478061-1361","12"
"193","2023-11-20 18:58:33.096578","CV 1","EBOMDHL-660864791","15"
"194","2023-11-20 18:58:33.822327","CV 5","EBHUCUT-3597528-1304","23"
"195","2023-11-20 18:58:36.522198","CV 5","ESTVVSH-1697167","20"
"196","2023-11-20 18:58:45.968620","CV 1","EBOMTHN-660868918","15"
"197","2023-11-20 18:58:47.505605","CV 5","ECCUTMZ-660894013","25"
"198","2023-11-20 18:58:56.257871","CV 1","EMUMKYN-660898939","15"
"199","2023-11-20 18:58:56.761199","CV 5","ERACRAC-267216-1686","43"
"200","2023-11-20 18:59:04.066556","CV 1","EBOMSTZ-660848815","15"
"201","2023-11-20 18:59:04.616634","CV 5","EPATBTS-4835386-1363","19"
"203","2023-11-20 18:59:29.735076","CV 5","EKOLKYI-660905084","24"
"204","2023-11-20 18:59:31.672993","CV 1","EMUMSAI4-3701356-1375","15"
"205","2023-11-20 18:59:33.420941","CV 5","EGAUGUW-3388930-1316","13"
"206","2023-11-20 18:59:36.140981","CV 5","EPATBTS-4836376-1365","19"
"207","2023-11-20 18:59:45.006334","CV 1","EBOMBHD-660891071","15"
"208","2023-11-20 18:59:48.255301","CV 5","SLC41349767-23","13"
"209","2023-11-20 18:59:50.528802","CV 5","EAHDABD-2637100-1279","21"
"211","2023-11-20 18:59:57.999148","CV 5","EPNQNGR-660897981","16"
"212","2023-11-20 19:00:06.172318","CV 5","EBIHMBI-660902003","46"
"213","2023-11-20 19:00:07.699967","CV 5","EBHOSEH-1657953","14"
"214","2023-11-20 19:00:08.900260","CV 1","ESTVVSH-1696157","20"
"215","2023-11-20 19:00:18.282985","CV 5","ECCUDGP-660295376","29"
"216","2023-11-20 19:00:19.753084","CV 1","ESTVKTG-1675012","20"
"217","2023-11-20 19:00:27.667676","CV 5","EIXRRKL-1555828","43"
"218","2023-11-20 19:00:30.644919","CV 5","ECHHCHH-660858999","12"
"219","2023-11-20 19:00:35.708026","CV 1","EGAUBEL-1369471","13"
"220","2023-11-20 19:00:37.272088","CV 5","EBBIKDG-660924131","23"
"221","2023-11-20 19:00:45.746903","CV 5","EGAUMLG-660899895","13"
"222","2023-11-20 19:00:45.923160","CV 1","EJLRJBL-660901163","12"
"223","2023-11-20 19:00:50.155520","CV 5","EIXRDMK-660823791","29"
"224","2023-11-20 19:00:59.756195","CV 5","ECCUULB-5971293-1523","25"
"225","2023-11-20 19:01:01.099551","CV 1","EBOMBKC-660803771","15"
"226","2023-11-20 19:01:07.672750","CV 5","EIXRJKD-2663378-1340","22"
"227","2023-11-20 19:01:08.564480","CV 1","EDAIDJL-660857793","15"
"228","2023-11-20 19:01:10.020194","CV 5","ETEZTPU-1431862","42"
"229","2023-11-20 19:01:15.252464","CV 5","ECCUHNV-1614151","25"
"230","2023-11-20 19:01:20.307603","CV 1","ELKALKA-660810751","42"
"231","2023-11-20 19:01:27.339001","CV 5","ECCUIXR-1446880","22"
