"bag_facility_source_name","bag_facility_current_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","bag_status","fact_updated_at","_source","bag_xdock","fact_updated_at_1"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3256013857","PH-B5-DELYKB-30158509","OPENED","2023-11-22T03:30:50.000+05:30","BAG",false,"2023-11-22T03:30:50.000+05:30"
"RanibaghHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3256150177","PH-B5-DELYKB-30632689","OPENED","2023-11-22T11:36:18.000+05:30","BAG",false,"2023-11-22T11:36:18.000+05:30"
"Britania_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3225998189","PH-ZO-DELYKB-30277439","OPENED","2023-11-21T01:28:08.000+05:30","BAG",false,"2023-11-21T01:28:08.000+05:30"
"AgraHub_AGR_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPC3254539099","PH-ZO-DELYKB-30597932","REACHED","2023-11-21T23:38:26.000+05:30","BAG",true,"2023-11-21T23:38:26.000+05:30"
"DasnaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3253669617","PH-ZO-DELYKB-30520904","OPENED","2023-11-22T10:25:58.000+05:30","BAG",false,"2023-11-22T10:25:58.000+05:30"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3256755768","PH-ZO-DELYKB-30607502","OPENED","2023-11-22T12:06:22.000+05:30","BAG",false,"2023-11-22T12:06:22.000+05:30"
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3242994529","PH-ZO-DELYKB-30505319","OPENED","2023-11-20T11:47:01.000+05:30","BAG",false,"2023-11-20T11:47:01.000+05:30"
"RajnagarMP_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3255503178","PH-B5-DELYKB-30627087","OPENED","2023-11-22T03:36:02.000+05:30","BAG",false,"2023-11-22T03:36:02.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3255830440","PH-B5-DELYKB-30549948","OPENED","2023-11-22T09:48:10.000+05:30","BAG",false,"2023-11-22T09:48:10.000+05:30"
"PaharganjHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3253826831","PH-ZO-DELYKB-30604768","OPENED","2023-11-21T12:59:41.000+05:30","BAG",false,"2023-11-21T12:59:41.000+05:30"
"HathrasHub_HTH_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3254108911","PH-ZO-DELYKB-30542750","OPENED","2023-11-21T19:42:04.000+05:30","BAG",false,"2023-11-21T19:42:04.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3251812491","PH-B5-DELYKB-29673468","OPENED","2023-11-21T20:51:56.000+05:30","BAG",false,"2023-11-21T20:51:56.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3254246410","PH-ZO-DELYKB-28797036","OPENED","2023-11-22T15:58:08.000+05:30","BAG",false,"2023-11-22T15:58:08.000+05:30"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","MYEC1004202415","PH-ZO-DELYKB-30610265","OPENED","2023-11-21T03:00:29.000+05:30","BAG",false,"2023-11-21T03:00:29.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3251734741","PH-B5-DELYKB-29673468","OPENED","2023-11-21T20:51:56.000+05:30","BAG",false,"2023-11-21T20:51:56.000+05:30"
"PanipatHub_PPT_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3251423522","PH-B5-DELYKB-30604424","OPENED","2023-11-21T17:58:22.000+05:30","BAG",false,"2023-11-21T17:58:22.000+05:30"
"NarelaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3254779237","PH-B5-DELYKB-30653843","OPENED","2023-11-22T00:42:49.000+05:30","BAG",false,"2023-11-22T00:42:49.000+05:30"
"SikandraNH2Hub_AGR_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPC3254894748","PH-ZO-DELYKB-30628000","REACHED","2023-11-22T12:15:55.000+05:30","BAG",true,"2023-11-22T12:15:55.000+05:30"
"Rohinihub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3256577731","PH-ZO-DELYKB-30616736","OPENED","2023-11-22T10:38:32.000+05:30","BAG",false,"2023-11-22T10:38:32.000+05:30"
"AgraHub_AGR_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPC3250906478","PH-ZO-DELYKB-30541179","REACHED","2023-11-20T07:48:05.000+05:30","BAG",true,"2023-11-20T07:48:05.000+05:30"
"PaharganjHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3245296781","PH-ZO-DELYKB-30606564","OPENED","2023-11-21T14:21:08.000+05:30","BAG",false,"2023-11-21T14:21:08.000+05:30"
"MathuraHub_MTH_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2018082766","PH-B5-DELYKB-30574856","OPENED","2023-11-21T21:07:14.000+05:30","BAG",false,"2023-11-21T21:07:14.000+05:30"
"FatehabadHub_FHB_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3254110858","PH-ZO-DELYKB-30629761","OPENED","2023-11-22T10:12:38.000+05:30","BAG",false,"2023-11-22T10:12:38.000+05:30"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3255497027","PH-B5-DELYKB-30627799","OPENED","2023-11-22T09:21:22.000+05:30","BAG",false,"2023-11-22T09:21:22.000+05:30"
"IPextension_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3253344064","PH-ZO-DELYKB-30127342","OPENED","2023-11-21T13:19:22.000+05:30","BAG",false,"2023-11-21T13:19:22.000+05:30"
