,hour_diff
5533,2
5544,0
5546,1
5550,2
5551,16
5552,5
5561,29
5570,3
5571,1
5591,2
5593,4
5594,1
5602,0
5606,1
5608,1
5610,1
5619,241
5625,12
5628,1
5629,1
5632,0
5643,4
5647,1
5654,1
5656,4
5661,2
5684,0
6308,1
6312,2
6316,4
6317,3
6328,63
6334,1
6337,2
6342,2
6351,3
6352,3
6357,3
6358,4
6363,3
6367,3
6370,67
6374,3
6376,4
6379,2
6385,3
6393,3
6395,2
6397,3
6399,31
6405,3
6407,88
6411,2
6423,1
6426,3
6438,3
6441,2
6445,22
6446,1
6447,48
6448,2
6451,4
6458,66
6462,120
6470,4
6479,228
6483,4
6506,3
6510,4
6551,44
6569,0
6577,40
6582,0
6607,0
6618,0
6626,15
6631,0
6633,0
6683,228
6695,0
6729,43
6744,1
6770,0
6773,1
6777,212
6784,0
6795,0
6800,1
6801,0
6824,0
6831,1
6837,0
6843,0
6857,1
6876,0
6901,1
6916,0
6923,0
6932,0
6933,0
6954,1
6957,0
6974,0
6986,1
7006,0
7027,1
7049,0
7052,0
7066,0
7078,51
7089,1
7105,0
7106,1
7143,41
7150,0
7151,1
7174,0
7184,0
7229,1
7311,0
7315,1
7324,185
7342,106
7346,0
7372,1
7391,0
7395,1
7400,0
7410,0
7433,0
7454,0
7465,1
7477,0
7485,211
7494,0
7528,1
7537,1
7539,1
7551,1
7576,0
7580,0
7603,1
7613,0
7632,112
7680,234
7696,138
7699,1
7705,1
7708,1
7731,0
7766,0
7835,0
7887,209
7903,1
7912,2
7956,51
7975,67
8026,115
8032,186
8039,1
8051,2
8086,0
8101,31
8134,0
8153,0
8192,145
8202,0
8245,1
8255,0
8282,28
8305,1
8467,4
8469,3
8470,1
8476,1
8507,72
8517,211
8522,18
8530,1
8531,1
8537,3
8538,1
8553,2
8554,3
8555,4
8556,1
8558,4
8562,14
8569,4
8598,2
8612,3
8621,3
8627,1
8635,1
8649,85
8657,4
8663,17
8668,4
8677,3
8693,87
8695,4
8696,3
8708,3
8715,3
8721,4
8731,3
8739,1
8743,1
8756,1
8757,1
8758,3
8780,4
8786,1
8793,22
8817,1
8818,4
8819,1
8823,4
8825,1
8828,4
8833,3
8841,3
8852,1
8878,95
8880,1
8906,1
8914,1
8918,1
8926,4
8940,4
8948,1
8958,42
8961,3
8964,1
8978,48
8982,1
8991,1
9017,1
9023,71
9042,1
9052,42
9056,2
9057,220
9071,10
9073,14
9081,37
9092,3
9116,1
9121,1
9125,50
9128,3
9136,1
9144,60
9169,4
9179,2
9186,3
9187,1
9192,31
9199,4
9201,4
9206,1
9218,236
9221,1
9232,1
9248,1
9254,32
9256,3
9259,1
9263,3
9266,1
9267,2
9272,3
9276,123
9278,3
9280,1
9283,2
9287,3
9294,2
9297,2
9298,60
9306,3
9307,31
9317,3
9328,1
9332,3
9333,1
9338,2
9339,50
9341,1
9346,3
9355,1
9357,2
9364,1
9372,3
9374,2
9394,3
9395,2
9402,3
9407,2
9410,1
9421,1
9432,3
9433,3
9434,11
9438,2
9441,2
9450,47
9451,1
9457,220
9463,79
9465,3
9466,2
9471,1
9475,12
9476,1
9477,2
9486,3
9487,68
9493,2
9501,3
9515,2
9516,2
9518,3
9522,3
9524,2
9528,3
9529,4
9530,1
