"shipment_facility_current_name","tracking_id_ekart","shipment_status","bag_type_ph","bag_id","shipment_facility_source_name","bag_facility_source_name","fact_updated_at","bag_facility_source_name_1"
"MotherHub_YKB","FMPP2020205487","sorted","B5","PH-B5-DELYKB-30653932","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:26:28.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3256946382","sorted","B5","PH-B5-DELYKB-30655863","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:27:39.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3256883236","sorted","B5","PH-B5-DELYKB-30584687","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:32:42.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020376909","sorted","B5","PH-B5-DELYKB-30618733","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:30:35.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020691666","sorted","B5","PH-B5-DELYKB-30655864","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:22:48.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3255533531","sorted","B5","PH-B5-DELYKB-30659479","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:18:13.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020619822","sorted","B5","PH-B5-DELYKB-30595102","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:32:40.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3255276702","sorted","B5","PH-B5-DELYKB-30653331","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:33:19.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020528452","sorted","B5","PH-B5-DELYKB-30654773","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:33:34.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3254789799","sorted","B5","PH-B5-DELYKB-30659480","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:28:14.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3256392993","sorted","B5","PH-B5-DELYKB-30378945","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:30:50.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3256257392","sorted","B5","PH-B5-DELYKB-30502520","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:31:13.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3256419228","sorted","B5","PH-B5-DELYKB-30605713","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:32:07.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3256362104","sorted","B5","PH-B5-DELYKB-30497581","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:32:40.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPP2020102291","sorted","B5","PH-B5-DELYKB-30618736","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:23:14.000+05:30","Peeragarhi_DEL_PL"
"MotherHub_YKB","FMPC3257104525","sorted","B5","PH-B5-DELYKB-30660538","MotherHub_YKB","Peeragarhi_DEL_PL","2023-11-22T01:28:35.000+05:30","Peeragarhi_DEL_PL"
