"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","bag_id","tracking_id_ekart","bag_type_ph","bag_receive_time","fact_updated_at","bag_facility_source_name","shipment_facility_source_name","shipment_cpd"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","SLP4104928179","EGURJJH-2847350","SDLC1025879207","","2023-11-23T16:14:06.000+05:30","2023-11-23T16:14:10.000+05:30","JansathMDH_MFN","MotherHub_FRK","2023-11-18T17:13:34.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","R-564523998","EGURJJH-2861340","FMPR0511705672","","2023-11-23T14:49:57.000+05:30","2023-11-23T14:50:15.000+05:30","AligarhHub_ALG","KwarsiHighwayHub_ALG","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","H-12572731068073017","EJAIBTS-1236282","FMPC3240350654","","2023-11-23T14:44:35.000+05:30","2023-11-23T14:44:39.000+05:30","IdentifyPlusAtrauliMDH_ATL","Motherhub_JAI_BTS","2023-11-24T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","H-67909728141773305","EGURJJH-2858309","FMPC3250260239","","2023-11-23T16:21:45.000+05:30","2023-11-23T16:21:49.000+05:30","KhattauliHub_MFN","Motherhub_JKS","2023-11-22T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00","S10353790791","Eulub_bt-890189","FMPC3238604911","","2023-11-23T13:41:44.000+05:30","2023-11-23T13:41:45.000+05:30","MohammadabadHub_MOH","Motherhub_ULB","2023-11-26T02:59:00.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","G-5687932635933436","EGURJJH-2856747","FMPC3234104055","","2023-11-23T08:52:22.000+05:30","2023-11-23T08:52:29.000+05:30","SonepatHub_SOP","Motherhub_JKS","2023-11-15T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00","S10132667135","Eulub_bt-894810","FMPC3234629183","","2023-11-23T14:49:41.000+05:30","2023-11-23T14:49:50.000+05:30","AligarhHub_ALG","Motherhub_HRN","2023-11-24T14:30:00.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","S10069820105","EHTHHTH-660863822","FMPC3213139519","","2023-11-23T14:45:48.000+05:30","2023-11-23T14:45:54.000+05:30","AligarhHub_ALG","Motherhub_GGN","2023-11-07T02:59:00.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","A-70070017698307838","EGURJJH-2861164","FMPC3236451472","","2023-11-23T14:51:56.000+05:30","2023-11-23T14:52:08.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JKS","2023-11-20T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","C-54553951501523644","EJAIBTS-1246226","FMPC3249748740","","2023-11-23T14:51:25.000+05:30","2023-11-23T14:51:38.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JAI_BTS","2023-11-23T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_DEL","ECONOMY","19:00:00","G-36383697608322354","EGURJJH-2844627","FMPC3249302323","","2023-11-23T16:21:04.000+05:30","2023-11-23T16:21:09.000+05:30","JansathMDH_MFN","Motherhub_JKS","2023-11-23T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","G-36438440774701544","EGURJJH-2847943","FMPC3245104940","","2023-11-23T14:44:12.000+05:30","2023-11-23T14:44:23.000+05:30","IdentifyPlusAtrauliMDH_ATL","Motherhub_JKS","2023-11-21T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ULB","REGULAR","16:00:00","R-554177154","Eulub_bt-884722","FMPR0501667695","","2023-11-23T13:40:51.000+05:30","2023-11-23T13:40:54.000+05:30","IdentifyPlusChiraiyakotODH_AZM","IdentifyPlusChiraiyakotODH_AZM","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","R-565484475","EGURJJH-2862738","FMPR0512595664","","2023-11-23T16:09:33.000+05:30","2023-11-23T16:09:43.000+05:30","KhattauliHub_MFN","KhattauliHub_MFN","1970-01-01T05:30:00.000+05:30"
