"fact_updated_at","facility_current","facility_next","facility_destination","item_id","tms_cut_off","grid_name","suggested_time","suggested_ldap","item_type","pick_completed","Bag_Source","stag_status","pick_completed_time","Consg","part_of_grid_1"
"2023-11-17T02:34:55.715+05:30","MotherHub_YKB","Motherhub_ULB","BagnanODH_BZN","ECCUBZN-461614","16:00:00","25","2023-11-17T01:38:29.922+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:34:51.762+05:30","False",true
"2023-11-17T02:34:50.773+05:30","MotherHub_YKB","Motherhub_ULB","CABTSibpurODH_Kol","ECCUSIB-1405594","16:00:00","25","2023-11-17T01:39:49.555+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:34:48.693+05:30","False",true
"2023-11-17T02:34:50.773+05:30","MotherHub_YKB","Motherhub_PAT_BTS","Motherhub_PAT_BTS","EPATBTS-4830945-1364","20:00:00","19","2023-11-17T00:28:34.299+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:34:48.725+05:30","False",true
"2023-11-17T02:34:45.621+05:30","MotherHub_YKB","Motherhub_ULB","CABTGariahatODH_KOL","ECCUGRT-1515650","16:00:00","25","2023-11-17T01:38:42.038+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:34:41.725+05:30","False",true
"2023-11-17T02:34:35.741+05:30","MotherHub_YKB","Motherhub_ULB","BaripadaHub_BPO","EBBIBPO-660890915","16:00:00","25","2023-11-17T01:03:26.443+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:34:34.610+05:30","False",true
"2023-11-17T02:34:30.720+05:30","MotherHub_YKB","Motherhub_ULB","DalhousieHub_KOL","ECCUDLH-369695","16:00:00","25","2023-11-17T01:16:21.072+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:34:30.630+05:30","False",true
"2023-11-17T02:34:01.514+05:30","MotherHub_YKB","Motherhub_PAT_BTS","CABTChapraSplitODH_CPR","EPATCHP-1521652","20:00:00","19","2023-11-17T01:03:10.211+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:33:59.561+05:30","False",true
"2023-11-17T02:33:55.672+05:30","MotherHub_YKB","Motherhub_PAT_BTS","CABTSaranSplitODH_CPR","EPATSRN-1456549","20:00:00","19","2023-11-17T01:09:47.868+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:33:54.517+05:30","False",true
"2023-11-17T02:33:40.720+05:30","MotherHub_YKB","Motherhub_PAT_BTS","RaxaulHub_RXL","ERXLRXL-660723801","20:00:00","19","2023-11-17T01:30:19.154+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:33:36.476+05:30","False",true
"2023-11-17T02:33:40.720+05:30","MotherHub_YKB","Motherhub_PAT_BTS","LauriyaHub_LRY","EGOPLRY-1364443","20:00:00","19","2023-11-17T01:13:16.241+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:33:40.452+05:30","False",true
