"bag_facility_source_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","shipment_facility_current_name"
"Ramaroadhub_DEL_PL","MotherHub_YKB","ZO",455,23,"MotherHub_YKB"
"BurariHub_DEL_PL","MotherHub_YKB","ZO",779,85,"MotherHub_YKB"
"BawanaHub_DEL_PL","MotherHub_YKB","B5",1006,82,"MotherHub_YKB"
"BilaspurHub_DRH_PL","MotherHub_YKB","B5",500,55,"MotherHub_YKB"
"Ramaroadhub_DEL_PL","MotherHub_YKB","B5",447,17,"MotherHub_YKB"
"RajnagarMP_DEL_PL","MotherHub_YKB","ZO",577,49,"MotherHub_YKB"
"MoradabadHub_MRD_PL","MotherHub_YKB","ZO",169,12,"MotherHub_YKB"
"FatehabadHub_FHB_PL","MotherHub_YKB","B5",156,8,"MotherHub_YKB"
"MeerutHub_PL","MotherHub_YKB","B5",16,14,"MotherHub_YKB"
"BahadurgarhHub_BHD_PL","MotherHub_YKB","B5",129,20,"MotherHub_YKB"
"AgraHub_AGR_PL","MotherHub_YKB","ZO3CCYKB",22,1,"Motherhub_GGN"
"DholpurHub_DLP_PL","MotherHub_YKB","B5",21,1,"MotherHub_BNL"
"GandhinagarHub_DEL_PL","MotherHub_YKB","ZO",7,7,"MotherHub_YKB"
"YamunaNagarHub_YNR_PL","MotherHub_YKB","B5",7,4,"MotherHub_YKB"
"MathuraHub_MTH_PL","MotherHub_YKB","B5",27,13,"MotherHub_YKB"
"GurgaonHub_DEL_PL","MotherHub_YKB","B5",34,21,"MotherHub_YKB"
"BareillyHub_BRY_PL","MotherHub_YKB","ZO",307,20,"MotherHub_BNL"
"MathuraHub_MTH_PL","MotherHub_YKB","ZO",34,11,"MotherHub_YKB"
"HaridwarHub_HRD_PL","MotherHub_YKB","B5",104,1,"MotherHub_BNL"
"AshokviharHub_DEL_PL","MotherHub_YKB","B5",4,3,"MotherHub_YKB"
"ModinagarHub_MEE_PL","MotherHub_YKB","ZO",42,4,"MotherHub_YKB"
"GurgaonMilestoneHub_DEL_PL","MotherHub_YKB","ZO",10,9,"MotherHub_YKB"
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","B5",58,17,"MotherHub_YKB"
"BadshahpurHub_DEL_PL","MotherHub_YKB","B5",118,34,"MotherHub_YKB"
"ModinagarHub_MEE_PL","MotherHub_YKB","B5",3,2,"MotherHub_YKB"
"BallabhgarhHub_Del_PL","MotherHub_YKB","B5",40,19,"MotherHub_YKB"
"BareillyHub_BRY_PL","MotherHub_YKB","B5",217,23,"MotherHub_BNL"
"BareillyHub_BRY_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
