,bag_facility_source_name,bag_facility_current_name,bag_facility_destination_name,bag_type_ph,tracking_id_ekart,bag_id,bag_status,fact_updated_at,_source,bag_xdock,fact_updated_at_1
429,BilaspurHub_DRH_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241890557,PH-ZO-DELYKB-30136321,OPENED,2023-11-16T14:45:16.000+05:30,BAG,False,2023-11-16T14:45:16.000+05:30
432,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011816868,PH-ZO-DELYKB-30478097,OPENED,2023-11-17T12:44:56.000+05:30,BAG,False,2023-11-17T12:44:56.000+05:30
434,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012896581,PH-ZO-DELYKB-30501022,OPENED,2023-11-17T19:43:23.000+05:30,BAG,False,2023-11-17T19:43:23.000+05:30
435,SahibabadHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2009872135,PH-ZO-DELYKB-30445790,OPENED,2023-11-17T09:39:16.000+05:30,BAG,False,2023-11-17T09:39:16.000+05:30
439,GurgaonHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3239763727,PH-ZO-DELYKB-30429851,OPENED,2023-11-16T13:15:17.000+05:30,BAG,False,2023-11-16T13:15:17.000+05:30
443,KanjhawalaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241272585,PH-ZO-DELYKB-29750440,OPENED,2023-11-17T14:27:17.000+05:30,BAG,False,2023-11-17T14:27:17.000+05:30
446,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243443058,PH-ZO-DELYKB-30478598,OPENED,2023-11-17T13:57:14.000+05:30,BAG,False,2023-11-17T13:57:14.000+05:30
450,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012614148,PH-ZO-DELYKB-30493408,OPENED,2023-11-17T13:25:23.000+05:30,BAG,False,2023-11-17T13:25:23.000+05:30
455,PrahladPur_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243105943,PH-ZO-DELYKB-30489659,OPENED,2023-11-17T14:24:41.000+05:30,BAG,False,2023-11-17T14:24:41.000+05:30
464,UttamNagarHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3239748500,PH-ZO-DELYKB-30454421,OPENED,2023-11-16T13:09:29.000+05:30,BAG,False,2023-11-16T13:09:29.000+05:30
