"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","bag_id"
"MotherHub_YKB","Motherhub_CUT","ECONOMY","16:00:00",8024,687
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00",12747,757
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00",6319,987
"MotherHub_YKB","SupaulHub_SOU","ECONOMY","20:00:00",203,15
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00",5518,576
"MotherHub_YKB","Motherhub_SAI_4","ECONOMY","21:00:00",6137,683
"MotherHub_YKB","GazoleHub_GZO","ECONOMY","06:00:00",299,17
"MotherHub_YKB","Motherhub_RAC","ECONOMY","17:00:00",5798,505
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00",2207,492
"MotherHub_YKB","MotherHub_SIL","ECONOMY","00:00:00",9241,846
"MotherHub_YKB","Motherhub_GUW","ECONOMY","00:00:00",7301,933
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00",3826,705
"MotherHub_YKB","MotherHub_PUNE","ECONOMY","22:00:00",7309,641
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00",2826,174
"MotherHub_YKB","Motherhub_GUW","REGULAR","00:00:00",49,22
"MotherHub_YKB","SitamarhiHub_SMI","ECONOMY","19:00:00",294,10
"MotherHub_YKB","MotherHub_CHG","ECONOMY","20:00:00",5877,678
"MotherHub_YKB","LoadshareLalbaghODH_MBB","ECONOMY","05:00:00",35,17
"MotherHub_YKB","RathbariHub_LDA","ECONOMY","06:00:00",329,35
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00",3974,467
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00",1334,87
"MotherHub_YKB","SimriHub_SHC","ECONOMY","20:00:00",124,17
"MotherHub_YKB","DebagramHub_DEB","ECONOMY","05:00:00",21,13
"MotherHub_YKB","SaharsaHub_SHC","ECONOMY","20:00:00",337,31
"MotherHub_YKB","ChanchalHub_CHC","ECONOMY","06:00:00",521,20
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00",650,171
"MotherHub_YKB","RunnisaidpurHub_SMI","ECONOMY","19:00:00",156,14
"MotherHub_YKB","MotherHub_DEL","ECONOMY","03:30:00",1288,122
"MotherHub_YKB","MotherHub_STV","ECONOMY","21:00:00",1532,111
"MotherHub_YKB","MithanpuraHub_MZF","ECONOMY","19:00:00",175,19
"MotherHub_YKB","LoadshareCitiCenterODH_DGP","ECONOMY","03:00:00",103,19
"MotherHub_YKB","CABTDarbhangaSplitODH_DBG","ECONOMY","20:00:00",163,12
"MotherHub_YKB","MadhepuraHub_DMH","ECONOMY","20:00:00",245,30
"MotherHub_YKB","GondalHub_GDN","ECONOMY","16:00:00",145,15
"MotherHub_YKB","JunagadhHub_IXK","ECONOMY","16:00:00",213,17
"MotherHub_YKB","FarrakaHub_NFK","ECONOMY","06:00:00",415,30
"MotherHub_YKB","ElasticRunWankanerODH_WKH","ECONOMY","16:00:00",75,4
"MotherHub_YKB","MuzaffarpurHub_MZF","ECONOMY","19:00:00",362,46
"MotherHub_YKB","Motherhub_ULB","REGULAR","16:00:00",85,53
"MotherHub_YKB","BeldangaHub_BEB","ECONOMY","05:00:00",25,14
"MotherHub_YKB","PanchanandapurHub_PCD","ECONOMY","06:00:00",269,25
"MotherHub_YKB","VeravalHub_VRV","ECONOMY","16:00:00",243,53
"MotherHub_YKB","DewandighiHub_BDM","ECONOMY","04:30:00",150,11
"MotherHub_YKB","","ECONOMY","",86,19
"MotherHub_YKB","BalurghatHub_BLT","ECONOMY","06:00:00",330,18
"MotherHub_YKB","MadhubaniHub_MBI","ECONOMY","20:00:00",393,54
"MotherHub_YKB","KalawadRoadHub_RAJ","ECONOMY","16:00:00",305,22
"MotherHub_YKB","KaliyaganjODH_KLJ","ECONOMY","06:00:00",320,20
"MotherHub_YKB","JainagarHub_MDH","ECONOMY","20:00:00",97,18
"MotherHub_YKB","MotherHub_IDO","REGULAR","05:30:00",88,38
"MotherHub_YKB","ShadowFaxTankaraODH_TNK","ECONOMY","16:00:00",15,5
"MotherHub_YKB","JamnagarHub_QGR","ECONOMY","16:00:00",473,25
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00",441,29
"MotherHub_YKB","CABTNarayanpurODH_LDA","ECONOMY","06:00:00",392,29
"MotherHub_YKB","LoadshareAndalSplitODH_DGP","ECONOMY","03:00:00",25,13
"MotherHub_YKB","GangarampurHub_GRM","ECONOMY","06:00:00",314,40
"MotherHub_YKB","Motherhub_HRN","ECONOMY","02:00:00",404,184
"MotherHub_YKB","PorbandarHub_POR","ECONOMY","16:00:00",185,5
"MotherHub_YKB","DwarkaGujaratHub_DWK","ECONOMY","16:00:00",92,3
"MotherHub_YKB","BenipurHub_BPA","ECONOMY","20:00:00",197,11
"MotherHub_YKB","RajkotHub_RAJ","ECONOMY","16:00:00",256,15
"MotherHub_YKB","RaiganjHub_RGJ","ECONOMY","06:00:00",592,24
"MotherHub_YKB","EnglishBazarHub_LDA","ECONOMY","06:00:00",358,9
"MotherHub_YKB","BurdwanHub_BDM","ECONOMY","04:30:00",110,2
"MotherHub_YKB","Motherhub_SAI_4","REGULAR","21:00:00",17,10
"MotherHub_YKB","PuruliaHub_PRR","ECONOMY","03:00:00",25,17
"MotherHub_YKB","ManikchakHub_LDA","ECONOMY","06:00:00",298,12
"MotherHub_YKB","MotherHub_SIL","REGULAR","00:00:00",67,27
"MotherHub_YKB","RajkotVavadiHUb_VAV","ECONOMY","16:00:00",208,12
"MotherHub_YKB","PupriHub_JNR","ECONOMY","19:00:00",182,21
"MotherHub_YKB","RathbariHub_LDA","REGULAR","06:00:00",27,11
"MotherHub_YKB","MinapurHub_MZF","ECONOMY","19:00:00",64,20
"MotherHub_YKB","CABTMithanpuraSplitODH_MZF","ECONOMY","19:00:00",68,3
"MotherHub_YKB","JasdanHub_JSN","ECONOMY","16:00:00",21,6
"MotherHub_YKB","MarwanHub_MZF","ECONOMY","19:00:00",84,4
"MotherHub_YKB","SheoharHub_SMI","ECONOMY","19:00:00",144,23
"MotherHub_YKB","ElasticRunGuskaraODH_GKH","ECONOMY","04:30:00",43,1
"MotherHub_YKB","RaghopurHub_SHC","ECONOMY","20:00:00",96,8
"MotherHub_YKB","BENIPURSplitHUB_BPA","ECONOMY","20:00:00",158,14
"MotherHub_YKB","SahebganjHub_SBG","ECONOMY","19:00:00",126,44
"MotherHub_YKB","DependoKaliachakODH_KTJ","ECONOMY","06:00:00",316,17
"MotherHub_YKB","CABTMadhubaniSplitODH_MBI","ECONOMY","20:00:00",93,12
"MotherHub_YKB","IdentifyplusDarbhangaSplitODH_DBG","ECONOMY","20:00:00",239,46
"MotherHub_YKB","PakriHub_DMH","ECONOMY","20:00:00",27,16
"MotherHub_YKB","ElasticRunKhargramODH_KND","ECONOMY","05:00:00",16,10
"MotherHub_YKB","CABTRajmahalaODH_RJL","ECONOMY","06:00:00",61,11
"MotherHub_YKB","DarbhangaHub_DBG","ECONOMY","20:00:00",308,45
"MotherHub_YKB","NazirpurHub_NZP","ECONOMY","05:00:00",1,1
"MotherHub_YKB","BhagwanpurHub_BNR","ECONOMY","19:00:00",71,3
"MotherHub_YKB","KhambhaliaHub_KBH","ECONOMY","16:00:00",106,8
"MotherHub_YKB","IdentifyPlusAmreliODH_AMR","ECONOMY","16:00:00",48,2
"MotherHub_YKB","LalgolaHub_LGL","ECONOMY","05:00:00",61,33
"MotherHub_YKB","DarbhangaSplitHUB_DBG","ECONOMY","20:00:00",104,4
"MotherHub_YKB","LalparHub_LLP","ECONOMY","16:00:00",206,19
"MotherHub_YKB","Motherhub_RAC","REGULAR","17:00:00",17,14
"MotherHub_YKB","AndalHub_DGP","ECONOMY","03:00:00",50,1
"MotherHub_YKB","JarangHub_JRG","ECONOMY","19:00:00",67,2
"MotherHub_YKB","JhanjharpurHub_JJP","ECONOMY","20:00:00",106,3
"MotherHub_YKB","CABTMuzaffarpurSplitODH_MZF","ECONOMY","19:00:00",81,5
"MotherHub_YKB","IdentifyplusMangrolODH_MGL","ECONOMY","16:00:00",32,14
"MotherHub_YKB","MotikhavdiHub_MKH","ECONOMY","16:00:00",87,3
"MotherHub_YKB","CABTMurshidabadODH_MBB","ECONOMY","05:00:00",24,9
"MotherHub_YKB","PandebeswarHub_BMG","ECONOMY","03:00:00",14,10
"MotherHub_YKB","VxpressGovindpurODH_DBD","ECONOMY","03:00:00",62,3
"MotherHub_YKB","Motherhub_ABD","REGULAR","23:00:00",2,2
"MotherHub_YKB","MotherHub_DEL","ECONOMY","18:00:00",15,13
"MotherHub_YKB","JaintpurHub_MZF","ECONOMY","19:00:00",77,4
"MotherHub_YKB","DurgapurHub_DGP","ECONOMY","03:00:00",125,14
"MotherHub_YKB","AsansolHub_ASN","ECONOMY","03:00:00",23,20
"MotherHub_YKB","MotherHub_STV","REGULAR","21:00:00",3,1
"MotherHub_YKB","MotherHub_BAM","REGULAR","23:00:00",3,3
