"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","bag_id"
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00",13603,413
"MotherHub_YKB","Motherhub_CUT","ECONOMY","16:00:00",5449,238
"MotherHub_YKB","DurgapurHub_DGP","ECONOMY","03:00:00",499,17
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00",10345,346
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00",6462,284
"MotherHub_YKB","Motherhub_GUW","ECONOMY","00:00:00",3723,175
"MotherHub_YKB","Motherhub_HRN","ECONOMY","02:00:00",2783,188
"MotherHub_YKB","Motherhub_RAC","ECONOMY","17:00:00",5236,200
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00",6297,310
"MotherHub_YKB","RathbariHub_LDA","ECONOMY","06:00:00",259,8
"MotherHub_YKB","ElasticRunWankanerODH_WKH","ECONOMY","16:00:00",48,2
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00",148,7
"MotherHub_YKB","SindrisplitODH_DBD","ECONOMY","03:00:00",396,10
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00",2420,87
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00",1395,111
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00",3497,125
"MotherHub_YKB","AdraSplitHub_ADR","ECONOMY","03:00:00",132,4
"MotherHub_YKB","LoadshareLalbaghODH_MBB","ECONOMY","05:00:00",431,10
"MotherHub_YKB","MotherHub_PUNE","ECONOMY","22:00:00",2997,118
"MotherHub_YKB","Motherhub_SAI_4","ECONOMY","21:00:00",4450,167
"MotherHub_YKB","MotherHub_DEL","ECONOMY","03:30:00",1330,101
"MotherHub_YKB","GangarampurHub_GRM","ECONOMY","06:00:00",272,9
"MotherHub_YKB","BurdwanHub_BDM","ECONOMY","04:30:00",466,13
"MotherHub_YKB","KhoyrasoleHub_BMG","ECONOMY","04:30:00",192,6
"MotherHub_YKB","JarangHub_JRG","ECONOMY","19:00:00",36,2
"MotherHub_YKB","LalgolaHub_LGL","ECONOMY","05:00:00",438,12
"MotherHub_YKB","SaharsaHub_SHC","ECONOMY","20:00:00",163,7
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00",1221,47
"MotherHub_YKB","DependoKaliachakODH_KTJ","ECONOMY","06:00:00",189,6
"MotherHub_YKB","PandebeswarHub_BMG","ECONOMY","03:00:00",148,7
"MotherHub_YKB","RaghunathganjODH_LGL","ECONOMY","05:00:00",120,4
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00",2635,128
"MotherHub_YKB","RaiganjHub_RGJ","ECONOMY","06:00:00",370,11
"MotherHub_YKB","MotherHub_CHG","ECONOMY","20:00:00",2523,144
"MotherHub_YKB","VxpressSindriODH_SIN","ECONOMY","03:00:00",239,9
"MotherHub_YKB","BethuadahariODH_BET","ECONOMY","05:00:00",190,6
"MotherHub_YKB","JamtaraHub_JMT","ECONOMY","03:00:00",430,16
"MotherHub_YKB","CABTDarbhangaSplitODH_DBG","ECONOMY","20:00:00",95,5
"MotherHub_YKB","VxpressBurnpurODH_ASN","ECONOMY","03:00:00",263,8
"MotherHub_YKB","MadhepuraHub_DMH","ECONOMY","20:00:00",136,8
"MotherHub_YKB","BalurghatHub_BLT","ECONOMY","06:00:00",232,7
"MotherHub_YKB","DewandighiHub_BDM","ECONOMY","04:30:00",576,35
"MotherHub_YKB","AndalHub_DGP","ECONOMY","03:00:00",272,8
"MotherHub_YKB","DomkolHub_MBB","ECONOMY","05:00:00",281,10
"MotherHub_YKB","BankuraHub_BKR","ECONOMY","04:30:00",191,7
"MotherHub_YKB","DarbhangaHub_DBG","ECONOMY","20:00:00",187,8
"MotherHub_YKB","MotherHub_SIL","ECONOMY","00:00:00",2884,133
"MotherHub_YKB","ChanchalHub_CHC","ECONOMY","06:00:00",359,11
"MotherHub_YKB","MuzaffarpurHub_MZF","ECONOMY","19:00:00",193,8
"MotherHub_YKB","MadhubaniHub_MBI","ECONOMY","20:00:00",180,6
"MotherHub_YKB","CABTMuzaffarpurSplitODH_MZF","ECONOMY","19:00:00",46,2
"MotherHub_YKB","FarrakaHub_NFK","ECONOMY","06:00:00",287,11
"MotherHub_YKB","RajkotVavadiHUb_VAV","ECONOMY","16:00:00",101,7
"MotherHub_YKB","JamnagarHub_QGR","ECONOMY","16:00:00",160,8
