"shipment_facility_current_name","tracking_id_ekart","bag_type_ph","bag_id","shipment_created_at","bag_facility_source_name","fact_updated_at","bag_status","bag_facility_source_name_1","shipment_facility_source_name_1"
"MotherHub_YKB","FMPP2026202720","ZO","PH-ZO-DELYKB-30631697","2023-11-25T11:11:25.000+05:30","AmrohaHub_AOA_PL","2023-11-27T17:31:15.000+05:30","TERMINATED","AmrohaHub_AOA_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268441729","ZO","PH-ZO-DELYKB-30387975","2023-11-26T14:34:00.000+05:30","AligarhHub_ALG_PL","2023-11-27T19:09:49.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027317135","B3","PH-B3-DELYKBF-4869919","2023-11-26T09:29:48.000+05:30","Alipur_DEL_PL","2023-11-27T09:27:44.000+05:30","IN_TRANSIT","Alipur_DEL_PL","MotherHub_YKB_Flex"
"MotherHub_YKB","FMPC3267532995","ZO","PH-ZO-DELYKB-30797475","2023-11-26T09:49:47.000+05:30","KarnalHub_KAL_PL","2023-11-27T17:21:45.000+05:30","OPENED","KarnalHub_KAL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3265228008","ZO","PH-ZO-DELYKB-30631732","2023-11-25T09:30:36.000+05:30","AmrohaHub_AOA_PL","2023-11-27T19:08:34.000+05:30","TERMINATED","AmrohaHub_AOA_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2025196418","ZO","PH-ZO-DELYKB-30553651","2023-11-24T13:36:55.000+05:30","KarolbaghHub_DEL_PL","2023-11-25T11:18:11.000+05:30","TERMINATED","KarolbaghHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027608866","ZO","PH-ZO-DELYKB-30796730","2023-11-26T12:34:00.000+05:30","SaharanpurHub_SHP_PL","2023-11-27T19:08:53.000+05:30","TERMINATED","SaharanpurHub_SHP_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027060033","B5","PH-B5-DELYKB-30732391","2023-11-26T10:41:48.000+05:30","Jhilmil_DEL_PL","2023-11-27T03:41:57.000+05:30","TERMINATED","Jhilmil_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2025016777","ZO","PH-ZO-DELYKB-30747010","2023-11-24T11:34:48.000+05:30","Pitampurahub_DEL_PL","2023-11-25T14:43:49.000+05:30","TERMINATED","Pitampurahub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267834619","ZO","PH-ZO-DELYKB-30797187","2023-11-26T10:48:00.000+05:30","MeerutHub_PL","2023-11-27T17:03:27.000+05:30","OPENED","MeerutHub_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268348293","ZO","PH-ZO-DELYKB-30753280","2023-11-26T13:40:56.000+05:30","YamunaNagarHub_YNR_PL","2023-11-27T17:18:58.000+05:30","TERMINATED","YamunaNagarHub_YNR_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3259662845","B5","PH-B5-DELYKB-28656595","2023-11-23T09:55:46.000+05:30","SahibabadHub_DEL_PL","2023-11-24T09:46:57.000+05:30","TERMINATED","SahibabadHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3257593500","ZO","PH-ZO-DELYKB-30597434","2023-11-22T06:01:54.000+05:30","CABTJalandharOPH_JLR_PL","2023-11-24T22:02:08.000+05:30","TERMINATED","CABTJalandharOPH_JLR_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3254850912","","EBAGSIL-2555255","2023-11-20T18:30:48.000+05:30","JalpaiguriHub_JPG","2023-11-27T11:40:27.000+05:30","CLOSED","JalpaiguriHub_JPG","MotherHub_YKB"
"MotherHub_YKB","FMPC3267706330","ZO","PH-ZO-DELYKB-30796744","2023-11-26T11:52:17.000+05:30","SaharanpurHub_SHP_PL","2023-11-27T17:49:09.000+05:30","TERMINATED","SaharanpurHub_SHP_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3262659114","ZO","PH-ZO-DELYKB-30654443","2023-11-24T10:02:01.000+05:30","BilaspurHub_DRH_PL","2023-11-25T14:02:51.000+05:30","TERMINATED","BilaspurHub_DRH_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027678502","ZO","PH-ZO-DELYKB-30779638","2023-11-26T12:01:47.000+05:30","YamunaNagarHub_YNR_PL","2023-11-27T17:54:48.000+05:30","TERMINATED","YamunaNagarHub_YNR_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267968606","ZO","PH-ZO-DELYKB-30796730","2023-11-26T11:14:03.000+05:30","SaharanpurHub_SHP_PL","2023-11-27T19:08:53.000+05:30","TERMINATED","SaharanpurHub_SHP_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3262117863","ZO","PH-ZO-DELYKB-30535918","2023-11-23T17:58:06.000+05:30","MeerutHub_PL","2023-11-27T16:10:58.000+05:30","TERMINATED","MeerutHub_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267939840","ZO","PH-ZO-DELYKB-30741742","2023-11-26T11:06:50.000+05:30","IPextension_DEL_PL","2023-11-27T09:58:50.000+05:30","TERMINATED","IPextension_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3175050273","","EGWLSIM-1512136","2023-11-26T00:05:55.000+05:30","Motherhub_JKS","2023-11-27T21:14:54.000+05:30","TERMINATED","Motherhub_JKS","FKL_JKS"
"MotherHub_YKB","FMPC3262005534","ZO","PH-ZO-DELYKB-30749594","2023-11-24T08:04:51.000+05:30","AshokviharHub_DEL_PL","2023-11-25T06:06:11.000+05:30","TERMINATED","AshokviharHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3264517523","ZO","PH-ZO-DELYKB-30782068","2023-11-24T19:39:19.000+05:30","HaldwaniHub_HWI_PL","2023-11-27T20:35:26.000+05:30","TERMINATED","HaldwaniHub_HWI_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2025779920","ZO","PH-ZO-DELYKB-30782068","2023-11-25T08:01:49.000+05:30","HaldwaniHub_HWI_PL","2023-11-27T20:35:26.000+05:30","TERMINATED","HaldwaniHub_HWI_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267850284","ZO","PH-ZO-DELYKB-30796749","2023-11-26T10:44:14.000+05:30","SaharanpurHub_SHP_PL","2023-11-27T19:38:30.000+05:30","TERMINATED","SaharanpurHub_SHP_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3265139148","ZO","PH-ZO-DELYKB-30631697","2023-11-25T09:11:55.000+05:30","AmrohaHub_AOA_PL","2023-11-27T17:31:15.000+05:30","TERMINATED","AmrohaHub_AOA_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268574069","ZO","PH-ZO-DELYKB-30798858","2023-11-26T16:08:58.000+05:30","MathuraHub_MTH_PL","2023-11-27T17:22:56.000+05:30","TERMINATED","MathuraHub_MTH_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3266785295","ZO","PH-ZO-DELYKB-29112353","2023-11-25T18:45:25.000+05:30","AligarhHub_ALG_PL","2023-11-27T21:15:30.000+05:30","OPENED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027657514","ZO","PH-ZO-DELYKB-30784948","2023-11-26T11:54:53.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:33:29.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3266033039","ZO","PH-ZO-DELYKB-30631697","2023-11-25T11:55:09.000+05:30","AmrohaHub_AOA_PL","2023-11-27T17:44:51.000+05:30","TERMINATED","AmrohaHub_AOA_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3262356867","ZO","PH-ZO-DELYKB-30639901","2023-11-23T22:05:32.000+05:30","KarolbaghHub_DEL_PL","2023-11-25T11:11:00.000+05:30","TERMINATED","KarolbaghHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2026551948","B5","PH-B5-DELYKB-30765710","2023-11-25T13:42:51.000+05:30","Motibaghhub_DEL_PL","2023-11-26T03:29:22.000+05:30","TERMINATED","Motibaghhub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268013692","ZO","PH-ZO-DELYKB-30795666","2023-11-26T11:27:24.000+05:30","NajafgarhHub_DEL_PL","2023-11-27T08:24:15.000+05:30","TERMINATED","NajafgarhHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268491677","ZO","PH-ZO-DELYKB-30333270","2023-11-26T14:59:40.000+05:30","RohtakHub_ROH_PL","2023-11-27T16:46:36.000+05:30","TERMINATED","RohtakHub_ROH_PL","MotherHub_YKB"
"MotherHub_YKB","ICYP0000816475","ZO","PH-ZO-DELYKB-30468055","2023-11-23T10:40:30.000+05:30","KashipurHub_KAS_PL","2023-11-27T17:15:58.000+05:30","TERMINATED","KashipurHub_KAS_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027249686","ZO","PH-ZO-DELYKB-30387975","2023-11-26T11:03:42.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:24:21.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268321545","ZO","PH-ZO-DELYKB-30787134","2023-11-26T13:22:06.000+05:30","AligarhHub_ALG_PL","2023-11-27T19:20:56.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3233987228","ZO","PH-ZO-DELYKB-30208420","2023-11-11T10:24:34.000+05:30","PaharganjHub_DEL_PL","2023-11-20T21:10:17.000+05:30","TERMINATED","PaharganjHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267002667","ZO","PH-ZO-DELYKB-30790461","2023-11-25T22:40:41.000+05:30","Peeragarhi_DEL_PL","2023-11-27T10:31:26.000+05:30","TERMINATED","Peeragarhi_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267715264","ZO","PH-ZO-DELYKB-30796744","2023-11-26T10:21:37.000+05:30","SaharanpurHub_SHP_PL","2023-11-27T17:21:48.000+05:30","TERMINATED","SaharanpurHub_SHP_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267363459","B6","PH-B6-DELDIC-2274844","2023-11-26T09:11:55.000+05:30","MeerutHub_PL","2023-11-27T19:41:40.000+05:30","IN_TRANSIT","MeerutHub_PL","Motherhub_DIC"
"MotherHub_YKB","FMPC3255949187","ZO","PH-ZO-DELYKB-30646695","2023-11-21T09:53:17.000+05:30","PrahladPur_DEL_PL","2023-11-22T13:03:10.000+05:30","TERMINATED","PrahladPur_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267999416","ZO","PH-ZO-DELYKB-30796991","2023-11-26T11:22:23.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:33:50.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3261564072","ZO","PH-ZO-DELYKB-30718850","2023-11-23T12:28:02.000+05:30","IPextension_DEL_PL","2023-11-24T01:42:00.000+05:30","TERMINATED","IPextension_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267491059","ZO","PH-ZO-DELYKB-30529486","2023-11-26T09:33:13.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:26:02.000+05:30","OPENED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267595827","ZO","PH-ZO-DELYKB-30798858","2023-11-26T09:58:25.000+05:30","MathuraHub_MTH_PL","2023-11-27T16:50:22.000+05:30","TERMINATED","MathuraHub_MTH_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267380379","ZO","PH-ZO-DELYKB-30797091","2023-11-26T09:15:44.000+05:30","RoorkeeHub_HRD_PL","2023-11-27T17:07:13.000+05:30","TERMINATED","RoorkeeHub_HRD_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267621388","B5","PH-B5-DELYKB-30794514","2023-11-26T10:45:57.000+05:30","FaridabadHub_DEL_PL","2023-11-27T01:48:59.000+05:30","TERMINATED","FaridabadHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3265553330","ZO","PH-ZO-DELYKB-30779914","2023-11-25T10:19:27.000+05:30","LadwaHub_LAD_PL","2023-11-27T17:53:20.000+05:30","TERMINATED","LadwaHub_LAD_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267370305","ZO","PH-ZO-DELYKB-30765998","2023-11-26T11:03:41.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:25:18.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3266797200","ZO","PH-ZO-DELYKB-30773523","2023-11-25T19:09:57.000+05:30","FaridabadHub_DEL_PL","2023-11-27T06:34:02.000+05:30","TERMINATED","FaridabadHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267366393","ZO","PH-ZO-DELYKB-30785103","2023-11-26T09:10:24.000+05:30","AligarhHub_ALG_PL","2023-11-27T19:21:32.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2008439577","ZO","PH-ZO-DELYKB-30397427","2023-11-13T11:16:41.000+05:30","SangamviharHub_DEL_PL","2023-11-20T21:11:41.000+05:30","TERMINATED","SangamviharHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268382130","ZO","PH-ZO-DELYKB-30742962","2023-11-26T14:00:41.000+05:30","SahibabadHub_DEL_PL","2023-11-27T08:34:55.000+05:30","TERMINATED","SahibabadHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3260295169","","ECCUULB-5983713","2023-11-23T05:52:54.000+05:30","AndalHub_DGP","2023-11-27T11:49:20.000+05:30","CLOSED","AndalHub_DGP","MotherHub_YKB"
"MotherHub_YKB","MYEP1007402610","ZO","PH-ZO-DELYKB-30036857","2023-11-25T17:10:45.000+05:30","RohtakHub_ROH_PL","2023-11-27T17:17:10.000+05:30","TERMINATED","RohtakHub_ROH_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027334936","ZO","PH-ZO-DELYKB-30666527","2023-11-26T09:55:05.000+05:30","CABTJalandharOPH_JLR_PL","2023-11-27T17:52:20.000+05:30","TERMINATED","CABTJalandharOPH_JLR_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267988957","ZO","PH-ZO-DELYKB-29112354","2023-11-26T11:32:04.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:37:38.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267612397","ZO","PH-ZO-DELYKB-30797083","2023-11-26T09:59:46.000+05:30","RoorkeeHub_HRD_PL","2023-11-27T16:35:03.000+05:30","TERMINATED","RoorkeeHub_HRD_PL","MotherHub_YKB"
"MotherHub_YKB","SDLC1026300478","ZO","PH-ZO-DELYKB-30347414","2023-11-23T10:31:23.000+05:30","CABTJalandharOPH_JLR_PL","2023-11-25T19:24:09.000+05:30","TERMINATED","CABTJalandharOPH_JLR_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027576261","B5","PH-B5-DELYKB-30623782","2023-11-26T11:22:28.000+05:30","ChanakyapuriHub_DEL_PL","2023-11-27T09:10:38.000+05:30","TERMINATED","ChanakyapuriHub_DEL_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267829033","B5","PH-B5-DELYKB-30461125","2023-11-26T10:48:51.000+05:30","RohtakHub_ROH_PL","2023-11-27T19:28:12.000+05:30","OPENED","RohtakHub_ROH_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267337876","ZO","PH-ZO-DELYKB-30785094","2023-11-26T09:32:37.000+05:30","AligarhHub_ALG_PL","2023-11-27T17:14:48.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3267512606","ZO","PH-ZO-DELYKB-29112354","2023-11-26T09:31:45.000+05:30","AligarhHub_ALG_PL","2023-11-27T17:55:37.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","NOWC2000088774","ZO","PH-ZO-DELYKB-30781125","2023-11-25T12:37:03.000+05:30","KurukshetraHub_KUR_PL","2023-11-27T16:40:06.000+05:30","TERMINATED","KurukshetraHub_KUR_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268126691","ZO","PH-ZO-DELYKB-30796731","2023-11-26T12:13:20.000+05:30","SaharanpurHub_SHP_PL","2023-11-27T19:09:40.000+05:30","TERMINATED","SaharanpurHub_SHP_PL","MotherHub_YKB"
"MotherHub_YKB","FMPC3268465236","ZO","PH-ZO-DELYKB-30387975","2023-11-26T14:33:59.000+05:30","AligarhHub_ALG_PL","2023-11-27T16:48:08.000+05:30","TERMINATED","AligarhHub_ALG_PL","MotherHub_YKB"
"MotherHub_YKB","FMPP2027333140","B3","PH-B3-DELYKBF-4869919","2023-11-26T09:37:22.000+05:30","Alipur_DEL_PL","2023-11-27T08:39:29.000+05:30","IN_TRANSIT","Alipur_DEL_PL","MotherHub_YKB_Flex"
