"bag_facility_source_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","shipment_facility_current_name"
"Alipur_DEL_PL","MotherHub_YKB","B5",4,4,"MotherHub_YKB"
"DasnaHub_DEL_PL","MotherHub_YKB","ZO",6,5,"MotherHub_YKB"
"BawanaHub_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"HaldwaniHub_HWI_PL","MotherHub_YKB","B5",18,2,"MotherHub_BNL"
"Motibaghhub_DEL_PL","MotherHub_YKB","B5",4,3,"MotherHub_YKB"
"JasolaHub_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"SahibabadHub_DEL_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"MangolpuriHub_DEL_PL","MotherHub_YKB","ZO",5,5,"MotherHub_YKB"
"SaharanpurHub_SHP_PL","MotherHub_YKB","B5",9,8,"MotherHub_YKB"
"Britania_DEL_PL","MotherHub_YKB","B5",1,1,"Motherhub_GGN"
"AdarshNagarHub_DEL_PL","MotherHub_YKB","ZO",4,1,"MotherHub_YKB"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","ZO",54,31,"MotherHub_YKB"
"VasundharaHub_DEL_PL","MotherHub_YKB","B5",4,4,"MotherHub_YKB"
"GandhinagarHub_DEL_PL","MotherHub_YKB","B5",10,9,"MotherHub_YKB"
"AgraHub_AGR_PL","MotherHub_YKB","ZO",59,39,"Motherhub_GGN"
"UttamNagarHub_DEL_PL","MotherHub_YKB","B5",10,7,"MotherHub_YKB"
"MeerutHub_PL","MotherHub_YKB","B5",55,15,"MotherHub_YKB"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","B5",6,6,"MotherHub_YKB"
"WelcomeHub_DEL_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"BudhViharHub_DEL_PL","MotherHub_YKB","B5",6,5,"MotherHub_YKB"
"BilaspurHub_DRH_PL","MotherHub_YKB","B5",4,2,"MotherHub_YKB"
"Rohinihub_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","ZO",10,10,"MotherHub_YKB"
"GurgaonHub_DEL_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"PaharganjHub_DEL_PL","MotherHub_YKB","B5",6,5,"MotherHub_YKB"
"FaridabadHub_DEL_PL","MotherHub_YKB","B5",7,7,"MotherHub_YKB"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","B5",5,2,"CentralHub_FPT"
"ELASTICRUNHANSIODH_HNS_PL","MotherHub_YKB","ZO",3,3,"Motherhub_GGN"
"WelcomeHub_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"GurgaonHub_DEL_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"SangamviharHub_DEL_PL","MotherHub_YKB","ZO",5,4,"MotherHub_YKB"
"KashipurHub_KAS_PL","MotherHub_YKB","B5",19,1,"MotherHub_BNL"
"NajafgarhHub_DEL_PL","MotherHub_YKB","ZO",7,7,"MotherHub_YKB"
"ChanakyapuriHub_DEL_PL","MotherHub_YKB","B5",4,4,"MotherHub_YKB"
"MangolpuriHub_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"BhiwaniHub_DEL_PL","MotherHub_YKB","B5",1,1,"Motherhub_GGN"
"BulandshahrHub_BUR_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"FaridabadHub_DEL_PL","MotherHub_YKB","ZO",5,3,"MotherHub_YKB"
"KanjhawalaHub_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"HaldwaniHub_HWI_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"IPextension_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"BulandshahrHub_BUR_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"SikandraNH2Hub_AGR_PL","MotherHub_YKB","ZO",20,16,"Motherhub_GGN"
"MundkaHub_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"AlwarHub_ALW_PL","MotherHub_YKB","B5",28,1,"MotherHub_BNL"
"YamunaViharHub_DEL_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"Motibaghhub_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"Firozabad_FZD_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"BudhViharHub_DEL_PL","MotherHub_YKB","ZO",10,10,"MotherHub_YKB"
"Ramaroadhub_DEL_PL","MotherHub_YKB","B5",3,2,"MotherHub_YKB"
"SonepatHub_SOP_PL","MotherHub_YKB","ZO",5,3,"MotherHub_YKB"
"BareillyHub_BRY_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","ZO",6,2,"CentralHub_FPT"
"Britania_DEL_PL","MotherHub_YKB","ZO",8,6,"MotherHub_YKB"
"NoidaHub_DEL_PL","MotherHub_YKB","B5",7,6,"MotherHub_YKB"
"GwaliorHub_GWL_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"PaharganjHub_DEL_PL","MotherHub_YKB","ZO",6,5,"MotherHub_YKB"
"HapurHub_HPU_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"SangamviharHub_DEL_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","B5",1,1,"Motherhub_DIC"
