"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","tracking_id_ekart","bag_facility_source_name","shipment_facility_source_name","fact_updated_at","shipment_cpd"
"MotherHub_YKB","KhoyrasoleHub_BMG","ECONOMY","04:30:00","B-10015583077739768","FMPP2025642918","SangamviharHub_DEL_PL","MotherHub_YKB","2023-11-26T05:42:27.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","LoadshareCitiCenterODH_DGP","ECONOMY","03:00:00","G-81756198159012371","FMPC3265485294","IPextension_DEL_PL","MotherHub_YKB","2023-11-26T03:03:50.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","EnglishBazarHub_LDA","ECONOMY","06:00:00","F-27355622765247214","FMPC3266300731","Motibaghhub_DEL_PL","MotherHub_YKB","2023-11-26T08:48:38.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","F-6792541426194454","FMPC3264193294","JasolaHub_DEL_PL","MotherHub_YKB","2023-11-25T12:47:26.000+05:30","2023-11-29T02:59:59.000+05:30"
"MotherHub_YKB","AdraHub_ADR","ECONOMY","03:00:00","C-30235812932581865","FMPC3265177558","Chhatarpur_DEL_PL","MotherHub_YKB","2023-11-26T11:24:19.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00","G-55050955907859307","FMPC3262912517","CABTJalandharOPH_JLR_PL","MotherHub_YKB","2023-11-26T13:56:23.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","G-71362594704615124","FMPP2026017396","Firozabad_FZD_PL","MotherHub_YKB","2023-11-26T10:25:59.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00","E-73227928825320398","FMPP2024444626","AlwarHub_ALW_PL","MotherHub_YKB","2023-11-26T13:15:05.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00","G-70243417105612348","FMPP2026185008","MeerutHub_PL","MotherHub_YKB","2023-11-26T10:35:24.000+05:30","2023-12-03T02:59:59.000+05:30"
"MotherHub_YKB","DewandighiHub_BDM","ECONOMY","04:30:00","E-26784275633632441","FMPP2026063065","MeerutHub_PL","MotherHub_YKB","2023-11-26T10:32:05.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","BankuraHub_BKR","ECONOMY","04:30:00","E-70239337145891981","FMPC3265156298","Jhilmil_DEL_PL","MotherHub_YKB","2023-11-26T09:55:31.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","KandiHub_KND","ECONOMY","05:00:00","E-27290071502765939","FMPP2025524135","ChanakyapuriHub_DEL_PL","MotherHub_YKB","2023-11-26T12:10:13.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00","H-31726638075747775","FMPC3263514048","CABTJalandharOPH_JLR_PL","MotherHub_YKB","2023-11-26T12:44:00.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00","A-68430639650430558","FMPC3265406929","MeerutHub_PL","MotherHub_YKB","2023-11-26T13:50:23.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_RAC","ECONOMY","17:00:00","D-59065155818718040","FMPP2026253967","ChanakyapuriHub_DEL_PL","MotherHub_YKB","2023-11-26T10:50:42.000+05:30","2023-12-01T02:59:59.000+05:30"
