"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant"
"MotherHub_YKB","AdraHub_ADR","ECONOMY","03:00:00",11
"MotherHub_YKB","KalawadRoadHub_RAJ","ECONOMY","16:00:00",7
"MotherHub_YKB","SimriHub_SHC","ECONOMY","20:00:00",9
"MotherHub_YKB","KhambhaliaHub_KBH","ECONOMY","16:00:00",6
"MotherHub_YKB","RaghunathganjODH_LGL","ECONOMY","05:00:00",9
"MotherHub_YKB","Motherhub_PLS","REGULAR","21:00:00",1
"MotherHub_YKB","JhilmilMPHub_DEL","REGULAR","10:00:00",1
"MotherHub_YKB","LalparHub_LLP","ECONOMY","16:00:00",2
"MotherHub_YKB","MotherHub_STV","REGULAR","21:00:00",1
"MotherHub_YKB","IdentifyplusUpletaODH_UPL","ECONOMY","16:00:00",1
"MotherHub_YKB","MotikhavdiHub_MKH","ECONOMY","16:00:00",1
"MotherHub_YKB","MarwanHub_MZF","ECONOMY","19:00:00",4
"MotherHub_YKB","MotherHub_JKD","ECONOMY","17:00:00",2
"MotherHub_YKB","JarangHub_JRG","ECONOMY","19:00:00",5
"MotherHub_YKB","IdentifyplusMangrolODH_MGL","ECONOMY","16:00:00",3
"MotherHub_YKB","PandebeswarHub_BMG","ECONOMY","03:00:00",4
"MotherHub_YKB","BhagwanpurHub_BNR","ECONOMY","19:00:00",1
"MotherHub_YKB","MorbiHub_MRB","ECONOMY","16:00:00",1
"MotherHub_YKB","GurgaonMilestoneMPHub_DEL","ECONOMY","11:00:00",1
"MotherHub_YKB","ShadowFaxTankaraODH_TNK","ECONOMY","16:00:00",1
