"shipment_facility_current_name","tracking_id_ekart","shipment_status","bag_type_ph","bag_id","shipment_facility_source_name","bag_facility_source_name","fact_updated_at","bag_facility_source_name_1"
"MotherHub_YKB","FMPC3267672952","sorted","B5","PH-B5-DELYKB-30774479","MotherHub_YKB","NoidaHub_DEL_PL","2023-11-27T03:08:48.000+05:30","NoidaHub_DEL_PL"
"MotherHub_YKB","FMPC3234677749","sorted","B5","PH-B5-DELYKB-28217889","MotherHub_YKB","KarolbaghHub_DEL_PL","2023-11-26T08:16:47.000+05:30","KarolbaghHub_DEL_PL"
"MotherHub_YKB","FMPC3244931705","sorted","ZO","PH-ZO-DELYKB-30512785","MotherHub_YKB","RanibaghHub_DEL_PL","2023-11-18T14:50:40.000+05:30","RanibaghHub_DEL_PL"
"MotherHub_YKB","FMPP2023990132","sorted","ZO","PH-ZO-DELYKB-30593042","MotherHub_YKB","MundkaHub_DEL_PL","2023-11-24T10:12:35.000+05:30","MundkaHub_DEL_PL"
"MotherHub_YKB","FMPC3261056239","sorted","B5","PH-B5-DELYKB-30674518","MotherHub_YKB","MundkaHub_DEL_PL","2023-11-24T07:41:26.000+05:30","MundkaHub_DEL_PL"
"MotherHub_YKB","FMPC3236088051","sorted","ZO","PH-ZO-DELYKB-30405085","MotherHub_YKB","FaridabadHub_DEL_PL","2023-11-20T10:18:26.000+05:30","FaridabadHub_DEL_PL"
"MotherHub_YKB","FMPP2027602783","sorted","B5","PH-B5-DELYKB-30672553","MotherHub_YKB","Phase3NoidaHub_DEL_PL","2023-11-27T10:47:34.000+05:30","Phase3NoidaHub_DEL_PL"
"MotherHub_YKB","FMPC3258582104","sorted","ZO","PH-ZO-DELYKB-30692509","MotherHub_YKB","BilaspurHub_DRH_PL","2023-11-23T01:01:51.000+05:30","BilaspurHub_DRH_PL"
"MotherHub_YKB","FMPC3263641900","sorted","ZO","PH-ZO-DELYKB-30747427","MotherHub_YKB","BadshahpurHub_DEL_PL","2023-11-26T02:10:40.000+05:30","BadshahpurHub_DEL_PL"
"MotherHub_YKB","FMPC3249733622","sorted","ZO","PH-ZO-DELYKB-30566682","MotherHub_YKB","BallabhgarhHub_Del_PL","2023-11-19T09:27:56.000+05:30","BallabhgarhHub_Del_PL"
"MotherHub_YKB","FMPC3225779351","sorted","B5","PH-B5-DELYKB-30117237","MotherHub_YKB","NoidaHub_DEL_PL","2023-11-24T19:41:06.000+05:30","NoidaHub_DEL_PL"
"MotherHub_YKB","FMPC3251784098","sorted","ZO","PH-ZO-DELYKB-30595793","MotherHub_YKB","GandhinagarHub_DEL_PL","2023-11-20T07:42:40.000+05:30","GandhinagarHub_DEL_PL"
"MotherHub_YKB","FMPP2014742076","sorted","","EPATBTS-4861017","MotherHub_YKB","PhulwarisharifHub_DNP","2023-11-27T13:12:02.000+05:30","PhulwarisharifHub_DNP"
"MotherHub_YKB","FMPP2025853577","sorted","ZO","PH-ZO-DELYKB-30775949","MotherHub_YKB","CABTJalandharOPH_JLR_PL","2023-11-26T22:56:26.000+05:30","CABTJalandharOPH_JLR_PL"
"MotherHub_YKB","FMPC3262033938","sorted","ZO","PH-ZO-DELYKB-30754029","MotherHub_YKB","JhansiHub_JHS_PL","2023-11-26T19:26:10.000+05:30","JhansiHub_JHS_PL"
"MotherHub_YKB","FMPP2008427233","sorted","B5","PH-B5-DELYKB-30296901","MotherHub_YKB","Jhilmil_DEL_PL","2023-11-20T21:54:00.000+05:30","Jhilmil_DEL_PL"
"MotherHub_YKB","FMPC3267524153","sorted","ZO","PH-ZO-DELYKB-30785769","MotherHub_YKB","BurariHub_DEL_PL","2023-11-27T01:55:52.000+05:30","BurariHub_DEL_PL"
"MotherHub_YKB","FMPC3252725273","sorted","ZO","PH-ZO-DELYKB-30599565","MotherHub_YKB","MeerutHub_PL","2023-11-21T17:35:27.000+05:30","MeerutHub_PL"
"MotherHub_YKB","FMPP2024304559","sorted","ZO","PH-ZO-DELYKB-30741167","MotherHub_YKB","PaharganjHub_DEL_PL","2023-11-27T21:32:52.000+05:30","PaharganjHub_DEL_PL"
"MotherHub_YKB","FMPP2027537699","sorted","B5","PH-B5-DELYKB-30786123","MotherHub_YKB","BurariHub_DEL_PL","2023-11-27T10:45:19.000+05:30","BurariHub_DEL_PL"
"MotherHub_YKB","FMPC3258788297","sorted","ZO","PH-ZO-DELYKB-30681048","MotherHub_YKB","BijwasanHub_DEL_PL","2023-11-23T08:03:06.000+05:30","BijwasanHub_DEL_PL"
"MotherHub_YKB","FMPC3250929436","sorted","ZO","PH-ZO-DELYKB-30512131","MotherHub_YKB","Britania_DEL_PL","2023-11-19T23:55:39.000+05:30","Britania_DEL_PL"
"MotherHub_YKB","FMPC3264082124","sorted","ZO","PH-ZO-DELYKB-30412741","MotherHub_YKB","KarolbaghHub_DEL_PL","2023-11-25T08:23:17.000+05:30","KarolbaghHub_DEL_PL"
"MotherHub_YKB","FMPC3256193462","sorted","B5","PH-B5-DELYKB-30649048","MotherHub_YKB","Phase3NoidaHub_DEL_PL","2023-11-22T05:18:33.000+05:30","Phase3NoidaHub_DEL_PL"
"MotherHub_YKB","FMPC3252287969","sorted","ZO","PH-ZO-DELYKB-30615640","MotherHub_YKB","FaridabadHub_DEL_PL","2023-11-21T10:57:39.000+05:30","FaridabadHub_DEL_PL"
"MotherHub_YKB","FMPC3265624666","sorted","B5","PH-B5-DELYKB-30654885","MotherHub_YKB","RanibaghHub_DEL_PL","2023-11-26T04:56:02.000+05:30","RanibaghHub_DEL_PL"
"MotherHub_YKB","FMPC3206876370","sorted","ZO","PH-ZO-DELYKB-29866795","MotherHub_YKB","Phase3NoidaHub_DEL_PL","2023-11-24T13:09:41.000+05:30","Phase3NoidaHub_DEL_PL"
"MotherHub_YKB","FMPP2022750795","sorted","ZO","PH-ZO-DELYKB-30706478","MotherHub_YKB","MundkaHub_DEL_PL","2023-11-24T00:07:47.000+05:30","MundkaHub_DEL_PL"
"MotherHub_YKB","FMPC3268380297","sorted","ZO","PH-ZO-DELYKB-30083278","MotherHub_YKB","PrahladPur_DEL_PL","2023-11-27T09:26:56.000+05:30","PrahladPur_DEL_PL"
"MotherHub_YKB","FMPC3250975621","sorted","B5","PH-B5-DELYKB-30657608","MotherHub_YKB","GurgaonHub_DEL_PL","2023-11-22T09:45:29.000+05:30","GurgaonHub_DEL_PL"
"MotherHub_YKB","FMPC3265332586","sorted","B5","PH-B5-DELYKB-30744176","MotherHub_YKB","NajafgarhHub_DEL_PL","2023-11-27T20:20:49.000+05:30","NajafgarhHub_DEL_PL"
"MotherHub_YKB","FMPC3255474933","sorted","","EGURJJH-2921500","MotherHub_YKB","MarinedriveHub_RPR","2023-11-27T19:11:42.000+05:30","MarinedriveHub_RPR"
"MotherHub_YKB","FMPC3266081638","sorted","ZO","PH-ZO-DELYKB-30639981","MotherHub_YKB","BijwasanHub_DEL_PL","2023-11-25T23:24:20.000+05:30","BijwasanHub_DEL_PL"
"MotherHub_YKB","FMPP2008503674","sorted","ZO","PH-ZO-DELYKB-30397572","MotherHub_YKB","VasundharaHub_DEL_PL","2023-11-20T21:11:20.000+05:30","VasundharaHub_DEL_PL"
"MotherHub_YKB","FMPP2027515198","sorted","B5","PH-B5-DELYKB-30649801","MotherHub_YKB","YamunaViharHub_DEL_PL","2023-11-27T10:44:49.000+05:30","YamunaViharHub_DEL_PL"
"MotherHub_YKB","FMPC3250481163","sorted","ZO","PH-ZO-DELYKB-30592668","MotherHub_YKB","WelcomeHub_DEL_PL","2023-11-20T13:05:41.000+05:30","WelcomeHub_DEL_PL"
"MotherHub_YKB","FMPC3267213719","sorted","ZO","PH-ZO-DELYKB-30743502","MotherHub_YKB","GurgaonHub_DEL_PL","2023-11-27T18:37:21.000+05:30","GurgaonHub_DEL_PL"
"MotherHub_YKB","FMPC3268063674","sorted","ZO","PH-ZO-DELYKB-30764021","MotherHub_YKB","Rohinihub_DEL_PL","2023-11-27T09:47:58.000+05:30","Rohinihub_DEL_PL"
"MotherHub_YKB","FMPC3264678391","sorted","ZO","PH-ZO-DELYKB-30781334","MotherHub_YKB","TohanaHub_THN_PL","2023-11-27T20:34:01.000+05:30","TohanaHub_THN_PL"
"MotherHub_YKB","FMPC3268224359","sorted","ZO","PH-ZO-DELYKB-30733305","MotherHub_YKB","Motibaghhub_DEL_PL","2023-11-27T10:35:53.000+05:30","Motibaghhub_DEL_PL"
"MotherHub_YKB","FMPC3264634512","sorted","ZO","PH-ZO-DELYKB-30775373","MotherHub_YKB","FatehabadHub_FHB_PL","2023-11-27T09:52:56.000+05:30","FatehabadHub_FHB_PL"
"MotherHub_YKB","FMPC3248769269","sorted","B5","PH-B5-DELYKB-30076565","MotherHub_YKB","WelcomeHub_DEL_PL","2023-11-25T22:39:45.000+05:30","WelcomeHub_DEL_PL"
"MotherHub_YKB","FMPC3265249528","sorted","ZO","PH-ZO-DELYKB-30763943","MotherHub_YKB","WelcomeHub_DEL_PL","2023-11-26T12:24:54.000+05:30","WelcomeHub_DEL_PL"
"MotherHub_YKB","FMPC3248301458","sorted","ZO","PH-ZO-DELYKB-30560167","MotherHub_YKB","HissarHub_HSS_PL","2023-11-19T19:46:03.000+05:30","HissarHub_HSS_PL"
"MotherHub_YKB","MYEP1007324732","sorted","B5","PH-B5-DELYKB-30754278","MotherHub_YKB","PalwalHub_PLW_PL","2023-11-26T11:48:09.000+05:30","PalwalHub_PLW_PL"
"MotherHub_YKB","FMPC3224317216","sorted","B5","PH-B5-DELYKB-30226102","MotherHub_YKB","CABTJalandharOPH_JLR_PL","2023-11-27T15:14:08.000+05:30","CABTJalandharOPH_JLR_PL"
"MotherHub_YKB","FMPC3263661126","sorted","B5","PH-B5-DELYKB-30732608","MotherHub_YKB","KarolbaghHub_DEL_PL","2023-11-25T12:22:32.000+05:30","KarolbaghHub_DEL_PL"
"MotherHub_YKB","FMPC3259257272","sorted","ZO","PH-ZO-DELYKB-29616238","MotherHub_YKB","BurariHub_DEL_PL","2023-11-23T12:56:31.000+05:30","BurariHub_DEL_PL"
"MotherHub_YKB","FMPC3244277839","sorted","ZO","PH-ZO-DELYKB-30651476","MotherHub_YKB","CanttHissarHub_HSS_PL","2023-11-22T15:51:47.000+05:30","CanttHissarHub_HSS_PL"
"MotherHub_YKB","FMPP1846326403","sorted","B5","PH-B5-DELYKB-27942336","fkl_DELFlexYakubpur","BadshahpurHub_DEL_PL","2023-11-25T17:06:38.000+05:30","BadshahpurHub_DEL_PL"
"MotherHub_YKB","FMPC3264488229","sorted","B5","PH-B5-DELYKB-30741114","MotherHub_YKB","IPextension_DEL_PL","2023-11-26T03:34:27.000+05:30","IPextension_DEL_PL"
